name,roll_no,email,branch,cgpa,tenth_percentage,twelfth_percentage,aptitude_score,coding_score,communication_score,internship,projects,backlogs,placed
Student_562,ROLL0562,student562@college.edu,ECE,8.39,69.75,66.6,34,75,75,0,4,0,1
Student_563,ROLL0563,student563@college.edu,EEE,9.73,83.67,72.01,71,25,82,0,2,3,1
Student_564,ROLL0564,student564@college.edu,ECE,6.67,70.53,79.21,96,69,42,0,2,0,1
Student_565,ROLL0565,student565@college.edu,EEE,6.71,95.72,54.67,59,56,83,0,0,1,0
Student_566,ROLL0566,student566@college.edu,ME,8.24,70.2,44.45,86,83,86,2,3,1,1
Student_567,ROLL0567,student567@college.edu,EEE,7.88,77.7,65.39,58,73,33,1,0,0,1
Student_568,ROLL0568,student568@college.edu,CE,9.05,86.19,57.35,66,91,78,2,1,3,1
Student_569,ROLL0569,student569@college.edu,CSE,7.78,57.98,65.9,42,68,36,2,1,0,1
Student_570,ROLL0570,student570@college.edu,EEE,6.84,53.87,70.23,61,30,40,2,2,4,0
Student_571,ROLL0571,student571@college.edu,EEE,7.79,56.69,66.56,75,68,83,1,3,2,1
Student_572,ROLL0572,student572@college.edu,CSE,8.31,90.15,89.43,52,40,74,0,4,4,0
Student_573,ROLL0573,student573@college.edu,CE,8.02,68.38,75.92,74,85,52,2,3,2,1
Student_574,ROLL0574,student574@college.edu,ECE,7.71,99.0,75.61,46,82,57,2,1,1,1
Student_575,ROLL0575,student575@college.edu,EEE,8.27,68.23,79.47,95,47,86,0,4,3,1
Student_576,ROLL0576,student576@college.edu,CSE,8.37,77.21,58.33,35,36,55,2,3,0,1
Student_577,ROLL0577,student577@college.edu,ME,8.58,93.51,84.47,47,25,54,1,3,3,1
Student_578,ROLL0578,student578@college.edu,CSE,7.85,99.0,71.09,51,38,83,2,4,0,1
Student_579,ROLL0579,student579@college.edu,ME,7.03,99.0,80.05,62,75,58,2,1,4,1
Student_580,ROLL0580,student580@college.edu,CE,7.35,89.5,59.14,59,47,65,0,3,4,0
Student_581,ROLL0581,student581@college.edu,ECE,8.41,87.29,53.35,61,85,43,2,4,0,1
Student_582,ROLL0582,student582@college.edu,CSE,6.38,82.11,81.81,71,57,64,2,5,3,1
Student_583,ROLL0583,student583@college.edu,IT,7.57,84.34,76.52,39,56,59,1,5,0,1
Student_584,ROLL0584,student584@college.edu,EEE,6.81,68.39,61.18,65,87,46,0,1,1,1
Student_585,ROLL0585,student585@college.edu,CE,7.23,65.18,61.56,63,68,96,0,4,4,0
Student_586,ROLL0586,student586@college.edu,CSE,8.48,74.96,85.51,57,62,59,1,5,1,1
Student_587,ROLL0587,student587@college.edu,EEE,7.39,72.96,57.73,40,55,74,2,4,4,0
Student_588,ROLL0588,student588@college.edu,CSE,7.25,69.56,91.71,68,77,80,0,3,4,1
Student_589,ROLL0589,student589@college.edu,ME,5.84,83.36,61.19,76,32,76,0,1,2,1
Student_590,ROLL0590,student590@college.edu,CSE,7.95,86.46,79.66,48,71,82,2,5,1,1
Student_591,ROLL0591,student591@college.edu,IT,7.85,76.06,68.06,44,77,93,2,3,1,1
Student_592,ROLL0592,student592@college.edu,CSE,9.36,92.73,79.24,57,51,67,0,0,2,1
Student_593,ROLL0593,student593@college.edu,CSE,6.89,61.3,65.47,53,79,93,2,0,3,1
Student_594,ROLL0594,student594@college.edu,IT,7.42,72.68,70.05,38,77,36,0,1,1,0
Student_595,ROLL0595,student595@college.edu,CE,7.45,66.4,72.49,76,75,51,2,5,0,1
Student_596,ROLL0596,student596@college.edu,CSE,8.78,52.6,59.97,62,47,70,2,5,2,1
Student_597,ROLL0597,student597@college.edu,IT,7.1,74.01,80.89,91,20,39,1,5,1,1
Student_598,ROLL0598,student598@college.edu,EEE,7.48,73.54,65.84,48,61,86,2,4,3,1
Student_599,ROLL0599,student599@college.edu,ME,7.81,93.16,69.26,96,67,36,1,3,1,1
Student_600,ROLL0600,student600@college.edu,ME,7.39,82.57,60.07,69,59,79,2,5,4,1
